City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ushuaia,-54.8,-68.3,4.81,70,40,11.83,AR,1715570902
1,port-aux-francais,-49.35,70.2167,2.44,64,92,4.1,TF,1715570903
2,stanley,54.868,-1.6985,12.06,96,75,1.54,GB,1715570332
3,luena,-11.7833,19.9167,15.1,77,4,2.57,AO,1715570903
4,hermanus,-34.4187,19.2345,12.67,81,26,4.71,ZA,1715570904
5,carloforte,39.145,8.3058,16.7,66,9,3.41,IT,1715570904
6,edinburgh of the seven seas,-37.0676,-12.3116,17.58,83,99,14.93,SH,1715570905
7,bethel,41.3712,-73.414,10.17,84,0,1.54,US,1715570495
8,riolandia,-19.9808,-49.6819,19.37,45,4,1.15,BR,1715570905
9,ribeira grande,38.5167,-28.7,18.21,88,40,3.13,PT,1715570906
10,san patricio,28.017,-97.5169,27.69,84,100,6.23,US,1715570906
11,galliano,29.4422,-90.2992,26.0,73,100,3.6,US,1715570907
12,san luis de la loma,17.2706,-100.8939,26.95,66,96,2.52,MX,1715570907
13,puerto natales,-51.7236,-72.4875,-2.04,91,39,1.85,CL,1715570907
14,santa cruz,-17.8,-63.1667,15.7,100,75,6.69,BO,1715570412
15,college,64.8569,-147.8028,12.97,48,75,4.63,US,1715570908
16,isafjordur,66.0755,-23.124,-0.52,92,100,4.66,IS,1715570391
17,iqaluit,63.7506,-68.5145,-10.15,62,20,7.72,CA,1715570909
18,south hill,47.1412,-122.2701,21.05,53,75,2.24,US,1715570793
19,holualoa,19.6228,-155.9522,28.91,64,40,6.17,US,1715570391
20,merizo village,13.2658,144.6691,31.31,78,47,6.33,GU,1715570910
21,ilulissat,69.2167,-51.1,0.01,100,100,4.63,GL,1715570379
22,invercargill,-46.4,168.35,11.68,78,52,2.68,NZ,1715570911
23,waitangi,-43.9535,-176.5597,10.46,89,94,1.34,NZ,1715570911
24,fale old settlement,-9.3852,-171.2468,28.78,75,63,6.81,TK,1715570912
25,chom bueng,13.62,99.5917,35.56,46,17,3.57,TH,1715570912
26,changling,44.2653,124.0005,21.59,19,98,5.52,CN,1715570913
27,bilibino,68.0546,166.4372,0.64,87,100,3.03,RU,1715570913
28,susuman,62.7833,148.1667,-0.01,84,100,3.58,RU,1715570406
29,tebesbest,33.1167,6.0833,24.07,29,0,2.57,DZ,1715570914
30,longyearbyen,78.2186,15.6401,0.91,64,75,5.14,SJ,1715570914
31,adamstown,-25.066,-130.1015,20.42,65,0,2.47,PN,1715570915
32,north saanich,48.6663,-123.4193,18.25,65,75,2.06,CA,1715570915
33,goksun,38.021,36.4973,8.88,88,100,1.54,TR,1715570915
34,petauke,-14.2426,31.3253,17.8,60,12,3.65,ZM,1715570916
35,tiksi,71.6872,128.8694,-6.02,73,95,1.36,RU,1715570916
36,blackmans bay,-43.0167,147.3167,15.07,82,99,5.39,AU,1715570331
37,mayskiy,47.6931,40.1025,7.67,56,93,3.52,RU,1715570917
38,west island,-12.1568,96.8225,28.99,79,75,5.14,CC,1715570351
39,kitob,39.0843,66.8332,21.52,41,41,1.94,UZ,1715570918
40,weihai,37.5017,122.1136,17.43,49,0,1.9,CN,1715570918
41,khandyga,62.6667,135.6,8.95,35,65,1.62,RU,1715570481
42,magadan,59.5667,150.8,0.29,78,100,7.94,RU,1715570919
43,margaret river,-33.95,115.0667,23.23,37,100,4.7,AU,1715570737
44,avanigadda,16.0215,80.9181,34.41,56,70,2.45,IN,1715570920
45,fort bragg,35.139,-79.006,17.17,74,0,0.0,US,1715570367
46,coquimbo,-29.9533,-71.3436,13.51,67,100,2.43,CL,1715570202
47,dukhan,25.4297,50.7858,28.35,46,0,3.78,QA,1715570921
48,port alfred,-33.5906,26.891,15.07,85,58,1.56,ZA,1715570338
49,yoloten,37.2989,62.3597,24.17,34,17,6.01,TM,1715570922
50,st. john's,47.5649,-52.7093,4.98,93,75,6.17,CA,1715570923
51,olonkinbyen,70.9221,-8.7187,0.14,98,100,4.88,SJ,1715570923
52,albany,42.6001,-73.9662,9.14,77,68,1.55,US,1715570923
53,iskateley,67.6803,53.1512,-4.99,95,100,4.02,RU,1715570346
54,nogliki,51.8333,143.1667,4.63,78,100,4.92,RU,1715570924
55,rio grande,-32.035,-52.0986,17.37,87,100,7.37,BR,1715570925
56,baruun-urt,46.6806,113.2792,18.55,42,100,8.61,MN,1715570925
57,auki,-8.7676,160.7034,30.56,64,98,2.09,SB,1715570512
58,grytviken,-54.2811,-36.5092,-3.89,73,15,3.8,GS,1715570926
59,fortuna,40.5982,-124.1573,12.18,93,100,4.12,US,1715570374
60,tingo maria,-9.2895,-76.0088,21.8,97,79,1.1,PE,1715570927
61,hawaiian paradise park,19.5933,-154.9731,22.24,97,100,6.17,US,1715570341
62,qaqortoq,60.7167,-46.0333,0.72,90,34,0.3,GL,1715570342
63,taoudenni,22.6783,-3.9836,31.2,11,0,4.24,ML,1715570383
64,berriane,32.8265,3.7669,22.45,39,100,0.58,DZ,1715570928
65,camana,-16.6228,-72.7111,18.69,84,99,3.51,PE,1715570415
66,sungai raya,0.7,108.9,30.6,69,24,0.76,ID,1715570929
67,sao joao da barra,-21.6403,-41.0511,24.99,91,44,4.52,BR,1715570929
68,broken hill,-31.95,141.4333,18.76,48,66,3.89,AU,1715570930
69,saudarkrokur,65.7461,-19.6394,1.98,99,100,3.94,IS,1715570930
70,nemuro,43.3236,145.575,8.56,99,100,11.35,JP,1715570386
71,walvis bay,-22.9575,14.5053,13.94,82,87,1.03,NA,1715570931
72,newport,51.5877,-2.9984,13.71,89,88,1.6,GB,1715570389
73,lebu,-37.6167,-73.65,7.82,83,27,5.83,CL,1715570434
74,safford,32.834,-109.7076,25.51,15,0,3.6,US,1715570665
75,anadyr,64.75,177.4833,3.28,69,0,6.71,RU,1715570448
76,daru,-9.0763,143.2092,28.05,74,35,6.88,PG,1715570933
77,niquero,20.0431,-77.5828,27.84,78,82,1.42,CU,1715570933
78,fuyuan,46.4333,127.0833,17.29,38,100,3.64,CN,1715570933
79,vorkuta,67.5,64.0,-8.27,95,100,3.58,RU,1715570934
80,whitehorse,60.7161,-135.0538,8.78,39,75,3.6,CA,1715570351
81,roleystone,-32.1167,116.0667,25.69,34,100,4.12,AU,1715570935
82,karungdong,5.8844,121.263,28.91,78,73,2.01,PH,1715570935
83,kodiak,57.79,-152.4072,7.73,71,75,1.54,US,1715570935
84,jamestown,42.097,-79.2353,10.77,92,100,2.57,US,1715570936
85,tolanaro,-25.0319,46.9987,20.04,88,20,0.0,MG,1715570936
86,essaouira,31.5125,-9.77,18.72,63,14,4.12,MA,1715570937
87,punta arenas,-53.15,-70.9167,4.06,60,0,9.26,CL,1715570937
88,sitka,57.0531,-135.33,6.98,83,100,2.07,US,1715570390
89,enewetak,11.3474,162.3373,27.61,82,80,8.5,MH,1715570376
90,bamboo flat,11.7,92.7167,28.05,83,40,3.6,IN,1715570938
91,klyuchi,52.2667,79.1667,18.1,31,1,4.42,RU,1715570939
92,yellowknife,62.456,-114.3525,8.56,69,75,3.6,CA,1715570939
93,inebolu,41.9747,33.7608,11.55,64,94,2.32,TR,1715570940
94,napili-honokowai,20.9708,-156.6705,27.97,86,5,4.08,US,1715570940
95,hannibal,39.7084,-91.3585,21.53,45,0,1.54,US,1715570941
96,nur-sultan,51.1801,71.446,17.97,42,0,8.0,KZ,1715570941
97,rongelap,11.1635,166.8941,27.4,78,73,8.48,MH,1715570358
98,papatowai,-46.5619,169.4708,10.71,83,87,2.72,NZ,1715570942
99,pocahontas,36.2615,-90.9712,22.21,68,40,2.57,US,1715570942
100,erenhot,43.6475,111.9767,28.29,8,86,10.65,CN,1715570943
101,flying fish cove,-10.4217,105.6791,27.82,89,100,5.14,CX,1715570943
102,jerez de la frontera,36.6865,-6.1361,17.81,92,75,2.06,ES,1715570945
103,kailua-kona,19.6406,-155.9956,30.98,62,40,6.17,US,1715570821
104,nagqu,31.5,92.0,7.6,42,54,3.6,CN,1715570946
105,yeppoon,-23.1333,150.7333,29.58,71,0,4.09,AU,1715570946
106,xiulin,29.7167,112.4,27.72,43,1,1.42,CN,1715570947
107,port mathurin,-19.6833,63.4167,25.09,72,31,8.48,MU,1715570947
108,kaltan,53.5347,87.2457,13.38,47,4,1.14,RU,1715570948
109,westport,41.1415,-73.3579,10.53,84,44,0.45,US,1715570948
110,katsuura,35.1333,140.3,21.33,97,100,13.58,JP,1715570949
111,baiyin,36.5583,104.2081,21.77,19,0,3.48,CN,1715570949
